,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%
1,Jacksonville Jaguars,17,36,32,88.9%,50,47,94.0%
2,New York Giants,17,38,34,89.5%,44,42,95.5%
3,New York Jets,17,39,36,92.3%,53,50,94.3%
4,Houston Texans,17,32,28,87.5%,48,44,91.7%
5,Carolina Panthers,17,37,32,86.5%,35,32,91.4%
6,Detroit Lions,17,41,36,87.8%,45,43,95.6%
7,Chicago Bears,17,30,27,90.0%,44,42,95.5%
8,Atlanta Falcons,17,28,26,92.9%,45,39,86.7%
9,Cleveland Browns,17,27,26,96.3%,35,33,94.3%
10,Washington Football Team,17,29,27,93.1%,46,43,93.5%
11,Denver Broncos,17,31,24,77.4%,29,28,96.6%
12,Miami Dolphins,17,37,31,83.8%,39,38,97.4%
13,New Orleans Saints,17,38,31,81.6%,31,30,96.8%
14,Baltimore Ravens,17,28,21,75.0%,42,39,92.9%
15,Pittsburgh Steelers,17,38,34,89.5%,41,38,92.7%
16,Seattle Seahawks,17,33,27,81.8%,36,31,86.1%
17,Los Angeles Chargers,17,35,32,91.4%,44,43,97.7%
18,Las Vegas Raiders,17,33,27,81.8%,46,44,95.7%
19,Philadelphia Eagles,17,24,21,87.5%,43,36,83.7%
20,Minnesota Vikings,17,40,34,85.0%,38,38,100.0%
21,San Francisco 49ers,17,27,21,77.8%,38,36,94.7%
22,Tennessee Titans,17,38,31,81.6%,34,29,85.3%
23,Indianapolis Colts,17,27,22,81.5%,34,31,91.2%
24,Los Angeles Rams,17,34,30,88.2%,36,36,100.0%
25,Cincinnati Bengals,17,31,23,74.2%,39,37,94.9%
26,Buffalo Bills,17,23,21,91.3%,26,26,100.0%
27,Kansas City Chiefs,17,24,20,83.3%,39,36,92.3%
28,Green Bay Packers,17,22,19,86.4%,40,38,95.0%
29,New England Patriots,17,33,22,66.7%,30,27,90.0%
30,Arizona Cardinals,17,28,23,82.1%,39,35,89.7%
31,Dallas Cowboys,17,35,29,82.9%,32,29,90.6%
32,Tampa Bay Buccaneers,17,31,27,87.1%,36,34,94.4%
,Avg Team,,32.1,27.3,85.1%,39.3,36.7,93.4%
,League Total,,1027,874,85.1%,1257,1174,93.4%
,Avg Tm/G,,1.9,1.6,85.1%,2.3,2.2,93.4%
