,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%
1,San Francisco 49ers,16,29,25,86.2%,51,51,100.0%
2,Chicago Bears,16,36,26,72.2%,35,35,100.0%
3,Miami Dolphins,16,28,20,71.4%,42,42,100.0%
4,Washington Redskins,16,20,17,85.0%,28,28,100.0%
5,Jacksonville Jaguars,16,28,21,75.0%,28,27,96.4%
6,Detroit Lions,16,20,17,85.0%,38,37,97.4%
7,St. Louis Rams,16,36,31,86.1%,39,39,100.0%
8,Tampa Bay Buccaneers,16,31,20,64.5%,35,34,97.1%
9,Cleveland Browns,16,28,24,85.7%,44,44,100.0%
10,Arizona Cardinals,16,26,25,96.2%,30,29,96.7%
11,Dallas Cowboys,16,23,21,91.3%,45,44,97.8%
12,Houston Texans,16,29,22,75.9%,37,37,100.0%
13,Oakland Raiders,16,25,17,68.0%,54,53,98.1%
14,New York Giants,16,25,20,80.0%,37,37,100.0%
15,Baltimore Ravens,16,31,26,83.9%,24,24,100.0%
16,Atlanta Falcons,16,18,16,88.9%,39,39,100.0%
17,New York Jets,16,19,16,84.2%,29,29,100.0%
18,New Orleans Saints,16,35,31,88.6%,42,42,100.0%
19,Seattle Seahawks,16,32,27,84.4%,39,38,97.4%
20,Carolina Panthers,16,28,20,71.4%,39,39,100.0%
21,Tennessee Titans,16,28,23,82.1%,50,50,100.0%
22,Minnesota Vikings,16,27,24,88.9%,43,43,100.0%
23,Cincinnati Bengals,16,31,28,90.3%,40,40,100.0%
24,Pittsburgh Steelers,16,27,23,85.2%,24,24,100.0%
25,Buffalo Bills,16,32,27,84.4%,27,27,100.0%
26,Philadelphia Eagles,16,24,17,70.8%,27,27,100.0%
27,Green Bay Packers,16,25,17,68.0%,47,47,100.0%
28,Denver Broncos,16,26,21,80.8%,32,31,96.9%
29,San Diego Chargers,16,27,20,74.1%,34,33,97.1%
30,New England Patriots,16,18,15,83.3%,23,23,100.0%
31,Kansas City Chiefs,16,27,21,77.8%,51,50,98.0%
32,Indianapolis Colts,16,31,25,80.6%,36,36,100.0%
,Avg Team,,27.2,22.0,80.8%,37.2,36.8,99.2%
,League Total,,870,703,80.8%,1189,1179,99.2%
,Avg Tm/G,,1.7,1.4,80.8%,2.3,2.3,99.2%
