,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%
1,Arizona Cardinals,16,31,25,80.6%,42,42,100.0%
2,Jacksonville Jaguars,16,31,27,87.1%,30,29,96.7%
3,Buffalo Bills,16,27,24,88.9%,39,36,92.3%
4,Washington Redskins,16,26,21,80.8%,38,34,89.5%
5,Miami Dolphins,16,32,24,75.0%,50,47,94.0%
6,Cleveland Browns,16,37,30,81.1%,39,36,92.3%
7,Oakland Raiders,16,30,25,83.3%,52,50,96.2%
8,Denver Broncos,16,31,26,83.9%,39,35,89.7%
9,Tennessee Titans,16,29,26,89.7%,32,31,96.9%
10,Detroit Lions,16,28,19,67.9%,39,35,89.7%
11,Carolina Panthers,16,23,20,87.0%,43,42,97.7%
12,San Francisco 49ers,16,27,24,88.9%,50,45,90.0%
13,Cincinnati Bengals,16,36,33,91.7%,46,44,95.7%
14,New York Giants,16,35,31,88.6%,39,39,100.0%
15,Philadelphia Eagles,16,37,32,86.5%,32,28,87.5%
16,Atlanta Falcons,16,22,22,100.0%,44,41,93.2%
17,New York Jets,16,39,33,84.6%,44,42,95.5%
18,Minnesota Vikings,16,36,33,91.7%,29,28,96.6%
19,Dallas Cowboys,16,30,27,90.0%,33,31,93.9%
20,Tampa Bay Buccaneers,16,23,21,91.3%,54,51,94.4%
21,Pittsburgh Steelers,16,26,22,84.6%,39,38,97.4%
22,Los Angeles Chargers,16,30,23,76.7%,31,30,96.8%
23,Green Bay Packers,16,31,23,74.2%,44,43,97.7%
24,Indianapolis Colts,16,33,28,84.8%,37,36,97.3%
25,Chicago Bears,16,26,25,96.2%,22,22,100.0%
26,Baltimore Ravens,16,26,20,76.9%,29,27,93.1%
27,Seattle Seahawks,16,33,26,78.8%,34,31,91.2%
28,New England Patriots,16,29,25,86.2%,34,34,100.0%
29,New Orleans Saints,16,23,17,73.9%,37,32,86.5%
30,Houston Texans,16,26,23,88.5%,32,29,90.6%
31,Los Angeles Rams,16,28,25,89.3%,42,39,92.9%
32,Kansas City Chiefs,16,26,22,84.6%,40,37,92.5%
,Avg Team,,29.6,25.1,84.7%,38.6,36.4,94.3%
,League Total,,947,802,84.7%,1235,1164,94.3%
,Avg Tm/G,,1.8,1.6,84.7%,2.4,2.3,94.3%
