,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%
1,Carolina Panthers,16,32,29,90.6%,45,45,100.0%
2,Minnesota Vikings,16,23,18,78.3%,42,42,100.0%
3,Buffalo Bills,16,39,29,74.4%,46,46,100.0%
4,Cleveland Browns,16,36,27,75.0%,35,35,100.0%
5,Arizona Cardinals,16,51,40,78.4%,45,44,97.8%
6,San Francisco 49ers,16,33,28,84.8%,37,36,97.3%
7,Seattle Seahawks,16,30,25,83.3%,44,44,100.0%
8,Cincinnati Bengals,16,33,28,84.8%,43,43,100.0%
9,Washington Redskins,16,38,28,73.7%,37,37,100.0%
10,Denver Broncos,16,36,29,80.6%,53,52,98.1%
11,Tampa Bay Buccaneers,16,21,17,81.0%,35,35,100.0%
12,Tennessee Titans,16,48,39,81.3%,30,30,100.0%
13,Chicago Bears,16,27,21,77.8%,31,29,93.5%
14,Detroit Lions,16,20,19,95.0%,42,42,100.0%
15,St. Louis Rams,16,38,35,92.1%,29,29,100.0%
16,Miami Dolphins,16,31,27,87.1%,36,36,100.0%
17,Baltimore Ravens,16,32,27,84.4%,25,25,100.0%
18,Kansas City Chiefs,16,24,20,83.3%,38,38,100.0%
19,Jacksonville Jaguars,16,25,23,92.0%,48,48,100.0%
20,New York Giants,16,27,23,85.2%,37,36,97.3%
21,Houston Texans,16,27,21,77.8%,50,50,100.0%
22,Green Bay Packers,16,29,24,82.8%,24,24,100.0%
23,New Orleans Saints,16,34,28,82.4%,29,27,93.1%
24,Pittsburgh Steelers,16,30,26,86.7%,19,18,94.7%
25,Atlanta Falcons,16,23,15,65.2%,31,31,100.0%
26,New York Jets,16,23,18,78.3%,35,34,97.1%
27,Dallas Cowboys,16,27,25,92.6%,49,49,100.0%
28,Indianapolis Colts,16,36,31,86.1%,41,41,100.0%
29,San Diego Chargers,16,16,16,100.0%,37,36,97.3%
30,Oakland Raiders,16,28,21,75.0%,44,44,100.0%
31,Philadelphia Eagles,16,21,18,85.7%,45,45,100.0%
32,New England Patriots,16,26,19,73.1%,32,32,100.0%
,Avg Team,,30.1,24.8,82.4%,37.9,37.6,99.1%
,League Total,,964,794,82.4%,1214,1203,99.1%
,Avg Tm/G,,1.9,1.6,82.4%,2.4,2.3,99.1%
