,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%
1,Tennessee Titans,16,27,23,85.2%,50,48,96.0%
2,San Francisco 49ers,16,37,28,75.7%,39,35,89.7%
3,Miami Dolphins,16,29,21,72.4%,45,42,93.3%
4,Cleveland Browns,16,35,30,85.7%,45,44,97.8%
5,Dallas Cowboys,16,36,30,83.3%,38,36,94.7%
6,St. Louis Rams,16,37,35,94.6%,29,29,100.0%
7,Indianapolis Colts,16,35,28,80.0%,44,40,90.9%
8,Detroit Lions,16,29,25,86.2%,44,41,93.2%
9,Houston Texans,16,26,20,76.9%,35,31,88.6%
10,San Diego Chargers,16,34,29,85.3%,41,39,95.1%
11,Green Bay Packers,16,28,24,85.7%,34,31,91.2%
12,Atlanta Falcons,16,26,20,76.9%,39,39,100.0%
13,Oakland Raiders,16,42,36,85.7%,35,31,88.6%
14,Buffalo Bills,16,27,22,81.5%,37,33,89.2%
15,Chicago Bears,16,28,24,85.7%,46,43,93.5%
16,Jacksonville Jaguars,16,38,30,78.9%,48,48,100.0%
17,Baltimore Ravens,16,36,30,83.3%,40,37,92.5%
18,Philadelphia Eagles,16,27,27,100.0%,49,47,95.9%
19,Washington Redskins,16,28,23,82.1%,41,40,97.6%
20,Denver Broncos,16,32,25,78.1%,28,27,96.4%
21,New Orleans Saints,16,27,22,81.5%,54,52,96.3%
22,Tampa Bay Buccaneers,16,34,31,91.2%,45,42,93.3%
23,Seattle Seahawks,16,28,27,96.4%,25,22,88.0%
24,New York Jets,16,29,26,89.7%,33,30,90.9%
25,Pittsburgh Steelers,16,31,26,83.9%,32,29,90.6%
26,Minnesota Vikings,16,31,28,90.3%,28,28,100.0%
27,New York Giants,16,35,31,88.6%,48,47,97.9%
28,Cincinnati Bengals,16,31,26,83.9%,27,27,100.0%
29,Kansas City Chiefs,16,22,18,81.8%,28,25,89.3%
30,New England Patriots,16,29,23,79.3%,31,28,90.3%
31,Arizona Cardinals,16,27,26,96.3%,29,27,93.1%
32,Carolina Panthers,16,26,20,76.9%,30,28,93.3%
,Avg Team,,30.8,26.1,84.5%,38.0,35.8,94.2%
,League Total,,987,834,84.5%,1217,1146,94.2%
,Avg Tm/G,,1.9,1.6,84.5%,2.4,2.2,94.2%
