,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%
1,Houston Texans,17,32,28,87.5%,45,44,97.8%
2,Tennessee Titans,17,27,25,92.6%,34,32,94.1%
3,Washington Commanders,17,29,26,89.7%,37,35,94.6%
4,Chicago Bears,17,29,21,72.4%,52,50,96.2%
5,Arizona Cardinals,17,31,29,93.5%,50,48,96.0%
6,Los Angeles Rams,17,40,36,90.0%,36,36,100.0%
7,Indianapolis Colts,17,28,26,92.9%,43,41,95.3%
8,Tampa Bay Buccaneers,17,27,24,88.9%,36,36,100.0%
9,Denver Broncos,17,41,39,95.1%,31,30,96.8%
10,New Orleans Saints,17,35,32,91.4%,30,27,90.0%
11,New York Jets,17,43,33,76.7%,31,29,93.5%
12,New York Giants,17,43,37,86.0%,36,34,94.4%
13,Carolina Panthers,17,33,24,72.7%,40,36,90.0%
14,Green Bay Packers,17,34,27,79.4%,40,36,90.0%
15,Cleveland Browns,17,35,30,85.7%,39,35,89.7%
16,Pittsburgh Steelers,17,34,30,88.2%,34,32,94.1%
17,Atlanta Falcons,17,38,33,86.8%,36,33,91.7%
18,New England Patriots,17,29,24,82.8%,36,33,91.7%
19,Jacksonville Jaguars,17,27,26,96.3%,32,30,93.8%
20,Los Angeles Chargers,17,35,28,80.0%,41,40,97.6%
21,Cincinnati Bengals,16,40,34,85.0%,29,26,89.7%
22,Las Vegas Raiders,17,40,28,70.0%,41,40,97.6%
23,Baltimore Ravens,17,38,31,81.6%,29,28,96.6%
24,Miami Dolphins,17,29,27,93.1%,40,38,95.0%
25,Seattle Seahawks,17,32,26,81.3%,42,39,92.9%
26,Minnesota Vikings,17,44,38,86.4%,39,39,100.0%
27,Detroit Lions,17,30,25,83.3%,45,40,88.9%
28,Philadelphia Eagles,17,25,22,88.0%,36,34,94.4%
29,Buffalo Bills,16,28,21,75.0%,28,27,96.4%
30,San Francisco 49ers,17,21,16,76.2%,30,27,90.0%
31,Dallas Cowboys,17,40,34,85.0%,29,28,96.6%
32,Kansas City Chiefs,17,25,23,92.0%,40,40,100.0%
,Avg Team,,33.2,28.2,85.0%,37.1,35.1,94.6%
,League Total,,1062,903,85.0%,1187,1123,94.6%
,Avg Tm/G,,2.0,1.7,85.0%,2.2,2.1,94.6%
