,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%
1,Los Angeles Rams,16,18,16,88.9%,47,44,93.6%
2,Cleveland Browns,16,27,19,70.4%,52,49,94.2%
3,San Francisco 49ers,16,32,29,90.6%,54,51,94.4%
4,Chicago Bears,16,35,33,94.3%,42,38,90.5%
5,New York Giants,16,40,34,85.0%,25,24,96.0%
6,New York Jets,16,31,27,87.1%,45,44,97.8%
7,Miami Dolphins,16,35,26,74.3%,38,34,89.5%
8,Minnesota Vikings,16,32,28,87.5%,29,29,100.0%
9,Tennessee Titans,16,32,27,84.4%,40,35,87.5%
10,Pittsburgh Steelers,16,31,26,83.9%,32,29,90.6%
11,Tampa Bay Buccaneers,16,36,27,75.0%,35,34,97.1%
12,Houston Texans,16,29,25,86.2%,35,35,100.0%
13,Jacksonville Jaguars,16,41,38,92.7%,40,36,90.0%
14,Baltimore Ravens,16,22,16,72.7%,36,33,91.7%
15,Denver Broncos,16,33,29,87.9%,27,24,88.9%
16,Detroit Lions,16,26,22,84.6%,39,36,92.3%
17,Buffalo Bills,16,32,30,93.8%,38,36,94.7%
18,Cincinnati Bengals,16,31,27,87.1%,32,28,87.5%
19,Philadelphia Eagles,16,33,28,84.8%,34,31,91.2%
20,Seattle Seahawks,16,27,19,70.4%,29,29,100.0%
21,Carolina Panthers,16,42,33,78.6%,37,35,94.6%
22,Kansas City Chiefs,16,30,25,83.3%,30,30,100.0%
23,Oakland Raiders,16,26,22,84.6%,39,35,89.7%
24,Arizona Cardinals,16,28,25,89.3%,40,37,92.5%
25,Indianapolis Colts,16,40,34,85.0%,39,34,87.2%
26,Green Bay Packers,16,29,27,93.1%,40,37,92.5%
27,Dallas Cowboys,16,32,25,78.1%,28,27,96.4%
28,San Diego Chargers,16,38,33,86.8%,42,42,100.0%
29,New England Patriots,16,29,21,72.4%,24,23,95.8%
30,Washington Redskins,16,30,24,80.0%,43,41,95.3%
31,New Orleans Saints,16,35,32,91.4%,46,44,95.7%
32,Atlanta Falcons,16,27,23,85.2%,38,35,92.1%
,Avg Team,,31.5,26.6,84.2%,37.3,35.0,93.6%
,League Total,,1009,850,84.2%,1195,1119,93.6%
,Avg Tm/G,,2.0,1.7,84.2%,2.3,2.2,93.6%
