,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%
1,Arizona Cardinals,16,28,21,75.0%,53,53,100.0%
2,Buffalo Bills,16,31,23,74.2%,26,26,100.0%
3,Houston Texans,16,35,28,80.0%,40,40,100.0%
4,New York Giants,16,37,28,75.7%,42,41,97.6%
5,Detroit Lions,16,24,17,70.8%,46,46,100.0%
6,Cleveland Browns,16,43,35,81.4%,31,31,100.0%
7,Oakland Raiders,16,34,28,82.4%,36,35,97.2%
8,San Diego Chargers,16,26,23,88.5%,53,52,98.1%
9,New York Jets,16,27,20,74.1%,33,33,100.0%
10,Washington Redskins,16,31,19,61.3%,45,45,100.0%
11,Atlanta Falcons,16,25,19,76.0%,48,47,97.9%
12,Tampa Bay Buccaneers,16,34,25,73.5%,27,27,100.0%
13,Dallas Cowboys,16,23,21,91.3%,26,23,88.5%
14,Jacksonville Jaguars,16,27,24,88.9%,34,33,97.1%
15,Chicago Bears,16,38,31,81.6%,33,31,93.9%
16,Miami Dolphins,16,31,26,83.9%,23,23,100.0%
17,Pittsburgh Steelers,16,24,21,87.5%,35,32,91.4%
18,Cincinnati Bengals,16,33,28,84.8%,38,38,100.0%
19,New Orleans Saints,16,31,25,80.6%,35,35,100.0%
20,Carolina Panthers,16,32,21,65.6%,32,31,96.9%
21,Philadelphia Eagles,16,30,22,73.3%,28,27,96.4%
22,New England Patriots,16,35,25,71.4%,21,21,100.0%
23,Denver Broncos,16,28,25,89.3%,29,28,96.6%
24,Minnesota Vikings,16,26,21,80.8%,36,36,100.0%
25,Baltimore Ravens,16,31,28,90.3%,27,27,100.0%
26,Green Bay Packers,16,33,30,90.9%,29,29,100.0%
27,Seattle Seahawks,16,31,25,80.6%,35,34,97.1%
28,San Francisco 49ers,16,26,17,65.4%,40,40,100.0%
29,Kansas City Chiefs,16,25,19,76.0%,39,39,100.0%
30,Tennessee Titans,16,30,26,86.7%,34,34,100.0%
31,Indianapolis Colts,16,21,16,76.2%,38,38,100.0%
32,St. Louis Rams,16,24,19,79.2%,36,35,97.2%
,Avg Team,,29.8,23.6,79.2%,35.3,34.7,98.4%
,League Total,,954,756,79.2%,1128,1110,98.4%
,Avg Tm/G,,1.9,1.5,79.2%,2.2,2.2,98.4%
