,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%
1,San Francisco 49ers,16,35,31,88.6%,38,37,97.4%
2,Kansas City Chiefs,16,39,34,87.2%,33,33,100.0%
3,Miami Dolphins,16,33,28,84.8%,49,49,100.0%
4,Buffalo Bills,16,30,27,90.0%,37,37,100.0%
5,Carolina Panthers,16,32,27,84.4%,38,38,100.0%
6,St. Louis Rams,16,39,34,87.2%,44,44,100.0%
7,Baltimore Ravens,16,43,37,86.0%,36,35,97.2%
8,Atlanta Falcons,16,30,28,93.3%,46,46,100.0%
9,Oakland Raiders,16,34,25,73.5%,43,43,100.0%
10,New York Jets,16,32,29,90.6%,36,36,100.0%
11,Minnesota Vikings,16,32,28,87.5%,31,31,100.0%
12,New Orleans Saints,16,30,26,86.7%,44,44,100.0%
13,Denver Broncos,16,33,27,81.8%,42,42,100.0%
14,Washington Redskins,16,37,27,73.0%,30,29,96.7%
15,Tampa Bay Buccaneers,16,18,15,83.3%,32,31,96.9%
16,Tennessee Titans,16,25,18,72.0%,33,31,93.9%
17,Philadelphia Eagles,16,38,31,81.6%,29,27,93.1%
18,New York Giants,16,29,21,72.4%,38,38,100.0%
19,Houston Texans,16,33,28,84.8%,43,42,97.7%
20,Pittsburgh Steelers,16,22,18,81.8%,30,29,96.7%
21,Chicago Bears,16,33,25,75.8%,37,35,94.6%
22,Detroit Lions,16,27,17,63.0%,53,53,100.0%
23,Cincinnati Bengals,16,27,25,92.6%,42,42,100.0%
24,Jacksonville Jaguars,16,23,18,78.3%,32,32,100.0%
25,Cleveland Browns,16,35,32,91.4%,38,38,100.0%
26,San Diego Chargers,16,19,13,68.4%,33,33,100.0%
27,Seattle Seahawks,16,27,22,81.5%,28,27,96.4%
28,Arizona Cardinals,16,33,28,84.8%,39,39,100.0%
29,Indianapolis Colts,16,20,15,75.0%,27,27,100.0%
30,Dallas Cowboys,16,31,25,80.6%,34,34,100.0%
31,Green Bay Packers,16,27,24,88.9%,29,29,100.0%
32,New England Patriots,16,14,12,85.7%,34,34,100.0%
,Avg Team,,30.0,24.8,82.8%,36.8,36.4,99.0%
,League Total,,960,795,82.8%,1177,1165,99.0%
,Avg Tm/G,,1.9,1.6,82.8%,2.3,2.3,99.0%
